gasto_semanal,nuevos_clientes
$100,72
$200,94
$300,107
$400,116
$500,123
$600,128
$700,133
$800,137
$900,141
$1.000,144
$1.100,147
$1.200,150
$1.300,153
$1.400,155
$1.500,157
$1.600,159
$1.700,161
$1.800,163
$1.900,165
$2.000,166
$2.100,168
$2.200,169
$2.300,171
$2.400,172
$2.500,173
$2.600,174
$2.700,176
$2.800,177
$2.900,178
$3.000,179
$3.100,180
$3.200,181
$3.300,182
$3.400,183
$3.500,184
$3.600,185
$3.700,186
$3.800,186
$3.900,187
$4.000,188
$4.100,189
$4.200,190
$4.300,190
$4.400,191
$4.500,192
$4.600,192
$4.700,193
$4.800,194
$4.900,194
$5.000,195
$5.100,196
$5.200,196
$5.300,197
$5.400,197
$5.500,198
$5.600,199
$5.700,199
$5.800,200
$5.900,200
$6.000,201
$6.100,201
$6.200,202
$6.300,202
$6.400,203
$15.300,230
